"ticketing_stop_id","stop_id","agency_id"
"at:45:50002:0:10","at:45:50002:0:10","1"
"at:45:50002:0:11","at:45:50002:0:11","1"
"at:45:50002:0:12","at:45:50002:0:12","1"
"at:45:50002:0:7","at:45:50002:0:7","1"
"at:45:50002:0:8","at:45:50002:0:8","1"
"at:45:50002:0:9","at:45:50002:0:9","1"
"at:45:51023:1","at:45:51023:1","1"
"at:47:2184:0:10","at:47:2184:0:10","1"
"at:47:2184:0:8","at:47:2184:0:8","1"
"at:47:2184:0:9","at:47:2184:0:9","1"
"at:47:2228:21","at:47:2228:21","1"
"at:47:2230:21","at:47:2230:21","1"
"at:47:2231:21","at:47:2231:21","1"
"at:47:2251:0:3","at:47:2251:0:3","1"
"at:47:61477:0:1","at:47:61477:0:1","1"
"at:47:61477:0:2","at:47:61477:0:2","1"
"at:47:61490:0:1","at:47:61490:0:1","1"
"at:47:61490:0:2","at:47:61490:0:2","1"
"at:47:62393:0:1","at:47:62393:0:1","1"
"at:47:62393:0:2","at:47:62393:0:2","1"
"at:47:62394:0:1","at:47:62394:0:1","1"
"at:47:62394:0:2","at:47:62394:0:2","1"
"at:47:62395:0:1","at:47:62395:0:1","1"
"at:47:62395:0:2","at:47:62395:0:2","1"
"at:47:62396:0:1","at:47:62396:0:1","1"
"at:47:62396:0:2","at:47:62396:0:2","1"
"at:47:62397:0:1","at:47:62397:0:1","1"
"at:47:62397:0:2","at:47:62397:0:2","1"
"at:47:62398:0:1","at:47:62398:0:1","1"
"at:47:62398:0:2","at:47:62398:0:2","1"
"at:47:62399:0:1","at:47:62399:0:1","1"
"at:47:62538:0:1","at:47:62538:0:1","1"
"at:47:62538:0:2","at:47:62538:0:2","1"
"at:47:62539:0:1","at:47:62539:0:1","1"
"at:47:62539:0:2","at:47:62539:0:2","1"
"at:47:62540:0:1","at:47:62540:0:1","1"
"at:47:62540:0:2","at:47:62540:0:2","1"
"at:47:65098:0:1","at:47:65098:0:1","1"
"at:47:65098:0:2","at:47:65098:0:2","1"
"at:47:65683:0:1","at:47:65683:0:1","1"
"at:47:81221:0:1","at:47:81221:0:1","1"
"at:47:81221:0:2","at:47:81221:0:2","1"
"at:47:81273:0:1","at:47:81273:0:1","1"
"at:47:81273:0:2","at:47:81273:0:2","1"
"de:08136:1000:4:4","de:08136:1000:4:4","1"
"de:08136:1000:4:5","de:08136:1000:4:5","1"
"de:08136:1512:4:3","de:08136:1512:4:3","1"
"de:08136:1906:2:1","de:08136:1906:2:1","1"
"de:08136:1906:3:2","de:08136:1906:3:2","1"
"de:08136:4204:2:1","de:08136:4204:2:1","1"
"de:08136:4204:3:2","de:08136:4204:3:2","1"
"de:08136:4244:2:1","de:08136:4244:2:1","1"
"de:08136:4245:2:1","de:08136:4245:2:1","1"
"de:08136:4817:2:1","de:08136:4817:2:1","1"
"de:08136:5301:2:1","de:08136:5301:2:1","1"
"de:08136:5817:2:1","de:08136:5817:2:1","1"
"de:08421:1008:31:25","de:08421:1008:31:25","1"
"de:08421:1008:32:2","de:08421:1008:32:2","1"
"de:08421:1008:34:8","de:08421:1008:34:8","1"
"de:08421:1008:35:27","de:08421:1008:35:27","1"
"de:08426:6587:1:Gleis","de:08426:6587:1:Gleis","1"
"de:08436:1159:2:1","de:08436:1159:2:1","1"
"de:08436:1159:2:2","de:08436:1159:2:2","1"
"de:08436:1159:2:3","de:08436:1159:2:3","1"
"de:08436:1190:2:1","de:08436:1190:2:1","1"
"de:08436:1228:3:1","de:08436:1228:3:1","1"
"de:08436:1235:2:1","de:08436:1235:2:1","1"
"de:08436:9002:2:1","de:08436:9002:2:1","1"
"de:08436:9002:2:2","de:08436:9002:2:2","1"
"de:09161:1750:2:1","de:09161:1750:2:1","1"
"de:09161:1750:2:2","de:09161:1750:2:2","1"
"de:09161:9000:1:1","de:09161:9000:1:1","1"
"de:09161:9000:3:2","de:09161:9000:3:2","1"
"de:09161:9000:3:3","de:09161:9000:3:3","1"
"de:09161:9000:4:4","de:09161:9000:4:4","1"
"de:09161:9000:4:5","de:09161:9000:4:5","1"
"de:09161:9000:5:6","de:09161:9000:5:6","1"
"de:09161:9000:5:7","de:09161:9000:5:7","1"
"de:09161:9009:1:3","de:09161:9009:1:3","1"
"de:09161:9009:1:4","de:09161:9009:1:4","1"
"de:09161:9009:2:5","de:09161:9009:2:5","1"
"de:09161:9009:2:6","de:09161:9009:2:6","1"
"de:09161:9009:3:7","de:09161:9009:3:7","1"
"de:09162:1:1:1","de:09162:1:1:1","1"
"de:09162:1:1:91","de:09162:1:1:91","1"
"de:09162:1:10:95","de:09162:1:10:95","1"
"de:09162:1:11:96","de:09162:1:11:96","1"
"de:09162:1:2:2","de:09162:1:2:2","1"
"de:09162:1:2:3","de:09162:1:2:3","1"
"de:09162:1:2:92","de:09162:1:2:92","1"
"de:09162:1:32:72","de:09162:1:32:72","1"
"de:09162:1:4:4","de:09162:1:4:4","1"
"de:09162:1:40:81","de:09162:1:40:81","1"
"de:09162:1:40:82","de:09162:1:40:82","1"
"de:09162:1:5:5","de:09162:1:5:5","1"
"de:09162:1:51:51","de:09162:1:51:51","1"
"de:09162:1:52:52","de:09162:1:52:52","1"
"de:09162:1:6:6","de:09162:1:6:6","1"
"de:09162:1:6:8","de:09162:1:6:8","1"
"de:09162:1:7:7","de:09162:1:7:7","1"
"de:09162:1:8:10","de:09162:1:8:10","1"
"de:09162:1:8:9","de:09162:1:8:9","1"
"de:09162:1:8:93","de:09162:1:8:93","1"
"de:09162:10:1:1","de:09162:10:1:1","1"
"de:09162:10:12:12","de:09162:10:12:12","1"
"de:09162:10:13:13","de:09162:10:13:13","1"
"de:09162:10:15:15","de:09162:10:15:15","1"
"de:09162:10:15:16","de:09162:10:15:16","1"
"de:09162:10:2:2","de:09162:10:2:2","1"
"de:09162:10:4:4","de:09162:10:4:4","1"
"de:09162:10:4:5","de:09162:10:4:5","1"
"de:09162:10:42:82","de:09162:10:42:82","1"
"de:09162:10:43:83","de:09162:10:43:83","1"
"de:09162:10:43:84","de:09162:10:43:84","1"
"de:09162:10:45:85","de:09162:10:45:85","1"
"de:09162:10:45:86","de:09162:10:45:86","1"
"de:09162:10:47:87","de:09162:10:47:87","1"
"de:09162:10:47:88","de:09162:10:47:88","1"
"de:09162:10:49:89","de:09162:10:49:89","1"
"de:09162:10:49:90","de:09162:10:49:90","1"
"de:09162:10:6:6","de:09162:10:6:6","1"
"de:09162:10:7:7","de:09162:10:7:7","1"
"de:09162:10:8:8","de:09162:10:8:8","1"
"de:09162:10:9:9","de:09162:10:9:9","1"
"de:09162:100:11:11","de:09162:100:11:11","1"
"de:09162:100:11:12","de:09162:100:11:12","1"
"de:09162:100:11:14","de:09162:100:11:14","1"
"de:09162:100:11:15","de:09162:100:11:15","1"
"de:09162:100:16:16","de:09162:100:16:16","1"
"de:09162:100:16:17","de:09162:100:16:17","1"
"de:09162:100:16:18","de:09162:100:16:18","1"
"de:09162:100:16:19","de:09162:100:16:19","1"
"de:09162:100:16:20","de:09162:100:16:20","1"
"de:09162:100:16:21","de:09162:100:16:21","1"
"de:09162:100:22:22","de:09162:100:22:22","1"
"de:09162:100:22:23","de:09162:100:22:23","1"
"de:09162:100:22:24","de:09162:100:22:24","1"
"de:09162:100:22:25","de:09162:100:22:25","1"
"de:09162:100:22:26","de:09162:100:22:26","1"
"de:09162:100:27:27","de:09162:100:27:27","1"
"de:09162:100:27:28","de:09162:100:27:28","1"
"de:09162:100:27:29","de:09162:100:27:29","1"
"de:09162:100:27:30","de:09162:100:27:30","1"
"de:09162:100:27:31","de:09162:100:27:31","1"
"de:09162:100:27:32","de:09162:100:27:32","1"
"de:09162:100:27:33","de:09162:100:27:33","1"
"de:09162:100:27:34","de:09162:100:27:34","1"
"de:09162:100:27:35","de:09162:100:27:35","1"
"de:09162:100:27:36","de:09162:100:27:36","1"
"de:09162:100:5:10","de:09162:100:5:10","1"
"de:09162:100:5:5","de:09162:100:5:5","1"
"de:09162:100:5:6","de:09162:100:5:6","1"
"de:09162:100:5:7","de:09162:100:5:7","1"
"de:09162:100:5:8","de:09162:100:5:8","1"
"de:09162:100:5:9","de:09162:100:5:9","1"
"de:09162:1000:1:1","de:09162:1000:1:1","1"
"de:09162:1000:41:81","de:09162:1000:41:81","1"
"de:09162:1000:41:82","de:09162:1000:41:82","1"
"de:09162:1001:3:3","de:09162:1001:3:3","1"
"de:09162:1001:3:4","de:09162:1001:3:4","1"
"de:09162:1002:1:1","de:09162:1002:1:1","1"
"de:09162:1002:2:2","de:09162:1002:2:2","1"
"de:09162:1003:1:1","de:09162:1003:1:1","1"
"de:09162:1003:2:2","de:09162:1003:2:2","1"
"de:09162:1003:3:3","de:09162:1003:3:3","1"
"de:09162:1004:1:1","de:09162:1004:1:1","1"
"de:09162:1004:2:2","de:09162:1004:2:2","1"
"de:09162:1005:3:KRU 1","de:09162:1005:3:KRU 1","1"
"de:09162:1005:3:KRU 2","de:09162:1005:3:KRU 2","1"
"de:09162:1006:1:1","de:09162:1006:1:1","1"
"de:09162:1006:2:2","de:09162:1006:2:2","1"
"de:09162:1007:1:1","de:09162:1007:1:1","1"
"de:09162:1007:2:2","de:09162:1007:2:2","1"
"de:09162:1008:1:1","de:09162:1008:1:1","1"
"de:09162:1008:2:2","de:09162:1008:2:2","1"
"de:09162:1009:1:1","de:09162:1009:1:1","1"
"de:09162:1009:2:2","de:09162:1009:2:2","1"
"de:09162:101:2:2","de:09162:101:2:2","1"
"de:09162:101:4:4","de:09162:101:4:4","1"
"de:09162:1010:2:2","de:09162:1010:2:2","1"
"de:09162:1010:3:3","de:09162:1010:3:3","1"
"de:09162:1010:4:4","de:09162:1010:4:4","1"
"de:09162:1010:5:5","de:09162:1010:5:5","1"
"de:09162:1010:51:51","de:09162:1010:51:51","1"
"de:09162:1010:52:52","de:09162:1010:52:52","1"
"de:09162:1010:52:83","de:09162:1010:52:83","1"
"de:09162:1010:6:6","de:09162:1010:6:6","1"
"de:09162:1010:7:7","de:09162:1010:7:7","1"
"de:09162:1010:8:8","de:09162:1010:8:8","1"
"de:09162:1011:1:1","de:09162:1011:1:1","1"
"de:09162:1011:2:2","de:09162:1011:2:2","1"
"de:09162:1012:1:1","de:09162:1012:1:1","1"
"de:09162:1012:2:2","de:09162:1012:2:2","1"
"de:09162:1013:1:1","de:09162:1013:1:1","1"
"de:09162:1013:2:2","de:09162:1013:2:2","1"
"de:09162:1013:31:71","de:09162:1013:31:71","1"
"de:09162:1014:1:1","de:09162:1014:1:1","1"
"de:09162:1014:2:2","de:09162:1014:2:2","1"
"de:09162:1014:3:3","de:09162:1014:3:3","1"
"de:09162:1014:4:4","de:09162:1014:4:4","1"
"de:09162:1015:1:1","de:09162:1015:1:1","1"
"de:09162:1015:2:2","de:09162:1015:2:2","1"
"de:09162:1016:1:1","de:09162:1016:1:1","1"
"de:09162:1016:2:2","de:09162:1016:2:2","1"
"de:09162:1017:1:1","de:09162:1017:1:1","1"
"de:09162:1017:2:2","de:09162:1017:2:2","1"
"de:09162:1017:3:3","de:09162:1017:3:3","1"
"de:09162:1018:1:1","de:09162:1018:1:1","1"
"de:09162:1018:2:2","de:09162:1018:2:2","1"
"de:09162:1019:1:1","de:09162:1019:1:1","1"
"de:09162:1019:2:2","de:09162:1019:2:2","1"
"de:09162:102:3:GOL 1","de:09162:102:3:GOL 1","1"
"de:09162:102:3:GOL 2","de:09162:102:3:GOL 2","1"
"de:09162:1020:51:51","de:09162:1020:51:51","1"
"de:09162:1020:51:52","de:09162:1020:51:52","1"
"de:09162:1021:1:1","de:09162:1021:1:1","1"
"de:09162:1021:2:2","de:09162:1021:2:2","1"
"de:09162:1022:1:1","de:09162:1022:1:1","1"
"de:09162:1022:2:2","de:09162:1022:2:2","1"
"de:09162:1022:3:3","de:09162:1022:3:3","1"
"de:09162:1023:1:1","de:09162:1023:1:1","1"
"de:09162:1023:2:2","de:09162:1023:2:2","1"
"de:09162:1024:3:3","de:09162:1024:3:3","1"
"de:09162:1024:4:4","de:09162:1024:4:4","1"
"de:09162:1025:1:1","de:09162:1025:1:1","1"
"de:09162:1025:2:2","de:09162:1025:2:2","1"
"de:09162:1026:1:1","de:09162:1026:1:1","1"
"de:09162:1026:2:2","de:09162:1026:2:2","1"
"de:09162:1026:3:3","de:09162:1026:3:3","1"
"de:09162:1026:4:4","de:09162:1026:4:4","1"
"de:09162:1027:1:1","de:09162:1027:1:1","1"
"de:09162:1027:2:2","de:09162:1027:2:2","1"
"de:09162:1028:1:1","de:09162:1028:1:1","1"
"de:09162:1028:2:2","de:09162:1028:2:2","1"
"de:09162:1029:1:1","de:09162:1029:1:1","1"
"de:09162:1029:2:2","de:09162:1029:2:2","1"
"de:09162:103:1:1","de:09162:103:1:1","1"
"de:09162:103:2:2","de:09162:103:2:2","1"
"de:09162:1030:1:11","de:09162:1030:1:11","1"
"de:09162:1030:1:12","de:09162:1030:1:12","1"
"de:09162:1030:1:4","de:09162:1030:1:4","1"
"de:09162:1030:1:5","de:09162:1030:1:5","1"
"de:09162:1030:2:10","de:09162:1030:2:10","1"
"de:09162:1030:2:2","de:09162:1030:2:2","1"
"de:09162:1030:2:9","de:09162:1030:2:9","1"
"de:09162:1030:51:51","de:09162:1030:51:51","1"
"de:09162:1030:51:52","de:09162:1030:51:52","1"
"de:09162:1031:1:1","de:09162:1031:1:1","1"
"de:09162:1031:2:2","de:09162:1031:2:2","1"
"de:09162:1032:1:1","de:09162:1032:1:1","1"
"de:09162:1032:3:3","de:09162:1032:3:3","1"
"de:09162:1033:1:1","de:09162:1033:1:1","1"
"de:09162:1033:2:2","de:09162:1033:2:2","1"
"de:09162:1034:1:1","de:09162:1034:1:1","1"
"de:09162:1034:2:2","de:09162:1034:2:2","1"
"de:09162:1035:1:3","de:09162:1035:1:3","1"
"de:09162:1035:2:4","de:09162:1035:2:4","1"
"de:09162:1036:1:1","de:09162:1036:1:1","1"
"de:09162:1036:2:2","de:09162:1036:2:2","1"
"de:09162:1037:1:1","de:09162:1037:1:1","1"
"de:09162:1037:2:2","de:09162:1037:2:2","1"
"de:09162:1038:1:1","de:09162:1038:1:1","1"
"de:09162:1039:1:1","de:09162:1039:1:1","1"
"de:09162:1039:2:2","de:09162:1039:2:2","1"
"de:09162:104:1:1","de:09162:104:1:1","1"
"de:09162:104:1:2","de:09162:104:1:2","1"
"de:09162:1040:1:1","de:09162:1040:1:1","1"
"de:09162:1040:2:2","de:09162:1040:2:2","1"
"de:09162:1040:3:3","de:09162:1040:3:3","1"
"de:09162:1040:4:4","de:09162:1040:4:4","1"
"de:09162:1040:5:5","de:09162:1040:5:5","1"
"de:09162:1040:51:51","de:09162:1040:51:51","1"
"de:09162:1040:51:52","de:09162:1040:51:52","1"
"de:09162:1041:1:1","de:09162:1041:1:1","1"
"de:09162:1041:2:2","de:09162:1041:2:2","1"
"de:09162:1042:1:1","de:09162:1042:1:1","1"
"de:09162:1042:2:2","de:09162:1042:2:2","1"
"de:09162:1042:3:3","de:09162:1042:3:3","1"
"de:09162:1043:1:1","de:09162:1043:1:1","1"
"de:09162:1043:2:2","de:09162:1043:2:2","1"
"de:09162:1044:1:1","de:09162:1044:1:1","1"
"de:09162:1044:2:2","de:09162:1044:2:2","1"
"de:09162:1045:3:FOC 1","de:09162:1045:3:FOC 1","1"
"de:09162:1045:3:FOC 2","de:09162:1045:3:FOC 2","1"
"de:09162:1046:1:1","de:09162:1046:1:1","1"
"de:09162:1046:2:2","de:09162:1046:2:2","1"
"de:09162:1047:1:1","de:09162:1047:1:1","1"
"de:09162:1047:2:2","de:09162:1047:2:2","1"
"de:09162:1048:1:1","de:09162:1048:1:1","1"
"de:09162:1048:2:2","de:09162:1048:2:2","1"
"de:09162:105:1:1","de:09162:105:1:1","1"
"de:09162:105:2:2","de:09162:105:2:2","1"
"de:09162:1050:1:1","de:09162:1050:1:1","1"
"de:09162:1050:2:2","de:09162:1050:2:2","1"
"de:09162:1050:3:3","de:09162:1050:3:3","1"
"de:09162:1050:4:4","de:09162:1050:4:4","1"
"de:09162:1050:51:51","de:09162:1050:51:51","1"
"de:09162:1050:51:52","de:09162:1050:51:52","1"
"de:09162:1053:3:FSS 1","de:09162:1053:3:FSS 1","1"
"de:09162:1053:3:FSS 2","de:09162:1053:3:FSS 2","1"
"de:09162:1054:3:OBZ 1","de:09162:1054:3:OBZ 1","1"
"de:09162:1054:3:OBZ 2","de:09162:1054:3:OBZ 2","1"
"de:09162:1055:1:1","de:09162:1055:1:1","1"
"de:09162:1055:2:2","de:09162:1055:2:2","1"
"de:09162:1056:1:1","de:09162:1056:1:1","1"
"de:09162:1056:2:2","de:09162:1056:2:2","1"
"de:09162:1056:3:3","de:09162:1056:3:3","1"
"de:09162:1056:4:4","de:09162:1056:4:4","1"
"de:09162:1057:1:1","de:09162:1057:1:1","1"
"de:09162:1057:2:2","de:09162:1057:2:2","1"
"de:09162:1058:1:1","de:09162:1058:1:1","1"
"de:09162:1058:1:2","de:09162:1058:1:2","1"
"de:09162:1059:3:GRZ 1","de:09162:1059:3:GRZ 1","1"
"de:09162:1059:3:GRZ 2","de:09162:1059:3:GRZ 2","1"
"de:09162:106:1:1","de:09162:106:1:1","1"
"de:09162:106:1:2","de:09162:106:1:2","1"
"de:09162:1060:51:51","de:09162:1060:51:51","1"
"de:09162:1060:51:53","de:09162:1060:51:53","1"
"de:09162:1060:52:52","de:09162:1060:52:52","1"
"de:09162:1060:52:54","de:09162:1060:52:54","1"
"de:09162:1061:3:LAD 1","de:09162:1061:3:LAD 1","1"
"de:09162:1061:3:LAD 2","de:09162:1061:3:LAD 2","1"
"de:09162:1062:1:1","de:09162:1062:1:1","1"
"de:09162:1062:2:2","de:09162:1062:2:2","1"
"de:09162:1064:2:2","de:09162:1064:2:2","1"
"de:09162:1064:3:3","de:09162:1064:3:3","1"
"de:09162:107:3:3","de:09162:107:3:3","1"
"de:09162:107:32:72","de:09162:107:32:72","1"
"de:09162:107:4:4","de:09162:107:4:4","1"
"de:09162:1070:1:1","de:09162:1070:1:1","1"
"de:09162:1070:2:2","de:09162:1070:2:2","1"
"de:09162:1070:3:3","de:09162:1070:3:3","1"
"de:09162:1070:4:4","de:09162:1070:4:4","1"
